output,X1,X2,X3,X4
5.356769706,0.5,1,0,0.8
0,0.75,0,1,0.2
0.004087278,0,0.25,0.5,0
0.339708484,0,0,0.5,0.2
3.880351701,0.25,0.75,0.75,0.8
4.227343836,1,1,0,0.4
0.436827168,1,0.5,1,0.2
0.859346437,0.5,0.75,0.75,0.6
1.126869016,0.75,1,0.5,0.2
0.142992081,0,1,1,0.4
0,0.25,0.25,0.75,0.8
0.723431428,1,0.75,0.5,0.8
1.178815377,0.25,0.5,0,0.4
0.211655998,0.25,0,0,0.2
2.209413839,0.5,1,0.25,0.8
0.337993664,0.5,0,0.75,0.4
0.286325392,1,1,1,0.4
1.849375413,0.75,0.5,0,0.2
2.736655213,0.5,1,1,0.2
0,0,0.25,0.25,0
6.270540552,0.25,1,0,0.4
1.6817127,0.5,1,0.25,0.8
2.829185463,1,1,0.25,0.6
0.249750974,1,0.5,0.75,0.2
10.85686702,0,0.75,0.75,0.4
0.263447315,0.25,1,0.75,0.8
0,0.25,0,0.75,0.6
0.051147631,0.25,0.25,0.25,0.4
0.393103085,0,1,0,0
0.138129155,0.5,0,0.25,0
0.869659055,0,1,0.5,0.8
0.52220323,0.5,0.5,0.5,0.6
0,0.25,0,0.5,0.4
0,0,0.25,0,0
1.137032646,1,0.5,0.25,0.8
4.104567641,0.75,1,0.25,0.6
0.432868245,0,0,0.5,0.2
0,0.25,0.5,0,0.6
0,0.75,0,1,0.2
0.226587158,1,0.75,0.75,0
0.061766671,0.5,0.25,0,0
1.319899151,0.25,1,0,0.2
0,0,0,0.25,0
0,0.75,0.25,1,0.6
0.214625011,0.25,1,0.75,0.8
3.735152713,0.25,0.75,0.75,0.6
0,0.75,0,0.75,0.4
8.205703003,1,0.75,0,0.4
0.289748125,0.75,1,1,0.8
4.257680786,1,1,0,0
0.880800261,1,0.5,0.25,0
0.107983556,0.5,0.25,1,0.8
0.046833396,0,0.5,0.25,0.8
1.2025326,0,0.25,0.5,0.2
0.406672116,1,0.5,0.25,0.6
0.192556173,0.5,0,0.5,0
0.307750881,0.75,0.25,0,0.8
